child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,52.6013644249756,data_year,child_age,count_register_gender,count_register_race_african,count_staff_salary,count_staff_gender_female,child_observe_total,teacher_emotional_total,count_staff_gender,language_match,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_GQ6ONJ4FP,49.515076286553494,data_year,count_staff_salary,child_age,count_staff_gender_female,count_register_gender,count_register_race_african,child_observe_total,teacher_emotional_total,count_staff_contract,language_match,count_staff_gender,count_register_gender_male,count_register_race,count_staff_salary_paid,<BIAS>
ID_YZ76CVRW3,40.93015709594761,data_year,child_age,count_staff_gender_female,count_staff_salary,pri_fees_amount,child_observe_total,count_register_gender,count_register_race_african,count_register_gender_female,longitude,count_register_race,language_match,pri_fees_amount_pv,count_staff_salary_paid,<BIAS>
ID_BNINCRXH8,62.395682373589125,data_year,count_register_gender,count_register_race_african,count_staff_gender_female,count_staff_salary,child_age,child_observe_total,count_staff_time,count_staff_contract,count_staff_gender,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_1U7GDTLRI,46.250216281000576,data_year,child_age,count_staff_gender_female,count_register_gender,count_staff_salary,count_register_race_coloured,child_observe_total,count_staff_contract,count_staff_gender,language_match,count_register_gender_female,count_register_gender_male,count_register_race,count_staff_salary_paid,<BIAS>
ID_HUPM6GALH,57.043067905141925,data_year,child_age,child_observe_total,ses_proxy,latitude,ward_best,id_dc_n,quintile,id_facility_n,id_prov_n,id_ward,id_enumerator,longitude,language_match,<BIAS>
ID_RLC7D66D6,49.92250463367054,data_year,child_age,count_register_gender,count_register_race_african,child_observe_total,count_staff_gender_female,count_staff_salary,teacher_emotional_total,count_register_gender_female,language_match,obs_cooking_1,count_register_gender_male,count_staff_salary_paid,count_register_race,<BIAS>
ID_3IDOXBRX5,44.33732344706891,data_year,count_register_gender,count_register_race_african,count_staff_salary,count_staff_gender_female,child_age,child_observe_total,obs_cooking_3,count_staff_contract,count_staff_gender,count_register_gender_male,count_register_gender_female,count_staff_salary_paid,count_register_race,<BIAS>
ID_5HF27TNFX,40.71654736764958,data_year,count_staff_salary,child_age,count_staff_gender_female,count_register_gender,count_register_race_african,child_observe_total,count_staff_contract,language_match,count_staff_gender,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_C9RZNXMYF,54.07110851891889,data_year,child_age,count_staff_salary,count_register_gender,count_register_race_african,count_staff_gender_female,teacher_emotional_total,child_observe_total,obs_heating_3,count_register_gender_male,language_match,obs_cooking_2,count_register_race,count_staff_salary_paid,<BIAS>
ID_63GVO6496,42.4374641995596,data_year,child_age,child_observe_total,teacher_emotional_total,latitude,pri_fees_amount,ses_proxy,child_zha,teacher_social_total,child_attendance,pri_fees_amount_pv,teacher_selfcare_total,longitude,language_match,<BIAS>
ID_MQDKXQO9R,42.96180070853711,data_year,child_age,count_staff_salary,count_staff_gender_female,count_register_gender,count_register_race_african,count_staff_time,count_staff_contract,language_match,count_register_gender_female,obs_cooking_3,count_staff_gender,count_register_race,count_staff_salary_paid,<BIAS>
ID_8NHEV4JYV,21.23980169941592,data_year,child_age,count_register_gender,count_register_race_african,count_staff_gender_female,count_staff_salary,teacher_emotional_total,id_team,count_staff_gender,language_match,count_register_gender_female,count_register_gender_male,count_staff_salary_paid,count_register_race,<BIAS>
ID_49Q0B09ZE,56.77200824166562,data_year,child_age,child_observe_total,teacher_emotional_total,ses_proxy,id_dc_n,quintile,child_zha,child_height,id_prov_n,teacher_social_total,id_enumerator,teacher_selfcare_total,language_match,<BIAS>
ID_OFDARJRN8,30.17718014972479,data_year,child_age,count_register_gender,count_register_race_african,count_staff_gender_female,count_staff_salary,obs_heating_1,obs_lighting_1,language_match,count_register_gender_female,obs_cooking_5,count_register_gender_male,count_staff_salary_paid,count_register_race,<BIAS>
ID_SUUJWQCUK,61.541130796171046,data_year,child_age,pri_fees_amount,count_staff_salary,count_staff_gender_female,count_staff_gender_male,child_observe_total,count_register_gender,count_register_race_coloured,count_register_gender_female,count_register_race,language_match,pri_fees_amount_pv,count_staff_salary_paid,<BIAS>
ID_LSRZPR784,47.14362472345647,data_year,child_age,count_staff_salary,count_staff_gender_female,count_register_gender,count_register_race_african,teacher_emotional_total,child_observe_total,count_register_gender_female,count_staff_gender,language_match,obs_cooking_3,count_register_race,count_staff_salary_paid,<BIAS>
ID_W0L3EEXNX,48.41546777829308,data_year,child_age,count_staff_gender_female,count_staff_salary,child_observe_total,teacher_emotional_total,count_register_gender,count_register_race_african,obs_heating_1,count_staff_gender,count_register_race,language_match,obs_cooking_3,count_staff_salary_paid,<BIAS>
ID_O5WURWYLF,27.195216059770473,data_year,count_register_gender,count_register_race_african,child_age,count_staff_salary,count_staff_gender_female,count_staff_contract,language_match,obs_cooking_3,count_staff_gender,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_EQAZQ4SZ7,60.17620202728108,data_year,child_age,child_observe_total,child_zha,id_enumerator,id_facility,child_height,child_attendance,language_match,<BIAS>,,,,,
ID_UXL36DZL7,54.89587233542875,data_year,count_staff_salary,count_staff_gender_female,child_age,pri_fees_amount,count_register_gender,count_register_race_african,language_match,count_register_race,obs_cooking_2,count_staff_contract,pri_fees_amount_pv,count_staff_gender,count_staff_salary_paid,<BIAS>
ID_WCDXTO0HT,28.805792393470483,data_year,child_age,count_register_gender,count_register_race_african,count_staff_gender_female,count_staff_salary,pri_fees_amount,count_staff_gender,language_match,count_register_gender_male,pri_fees_amount_pv,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_B6TIIEIQJ,53.468302080805415,data_year,count_register_gender,count_register_race_african,child_age,count_staff_salary,count_staff_gender_female,child_observe_total,language_match,obs_cooking_3,count_staff_gender,count_register_gender_male,count_register_gender_female,count_staff_salary_paid,count_register_race,<BIAS>
ID_7UZ66G4L8,55.49712906189575,data_year,child_age,teacher_emotional_total,child_observe_total,ses_proxy,id_dc_n,id_facility,child_zha,id_facility_n,child_height,id_prov_n,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_WYP2V4JWK,42.227592200887784,data_year,count_register_gender,count_register_race_african,count_staff_salary,count_staff_gender_female,child_age,count_staff_gender_male,count_staff_salary_unpaid,count_staff_contract,count_staff_gender,count_register_gender_female,count_register_gender_male,count_staff_salary_paid,count_register_race,<BIAS>
ID_HEKRYM1A4,49.7500546196643,data_year,count_register_gender,count_staff_salary,count_staff_gender_female,count_register_race_african,child_age,child_observe_total,language_match,count_staff_contract,count_staff_gender,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_6R9STZK86,43.41156527633348,data_year,count_staff_salary,count_staff_gender_female,child_age,count_register_gender,count_register_race_african,language_match,count_staff_contract,count_staff_salary_unpaid,count_staff_gender,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_ABMQ8URI7,41.72784257154012,data_year,count_register_gender,count_staff_salary,count_register_race_african,count_staff_gender_female,child_age,count_staff_gender_male,count_staff_time,count_staff_contract,count_staff_gender,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_W1X2S8XHA,68.69876239984092,data_year,child_age,pri_fees_amount,child_observe_total,teacher_emotional_total,ses_proxy,id_dc_n,child_height,id_prov_n,teacher_social_total,id_enumerator,teacher_selfcare_total,language_match,pri_fees_amount_pv,<BIAS>
ID_51ON1WCV7,44.84901409811141,data_year,child_age,count_staff_gender_female,count_staff_salary,count_register_gender,count_register_race_african,child_observe_total,teacher_emotional_total,count_staff_gender,count_register_gender_male,language_match,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_CEM6103TG,27.01556823720648,data_year,child_age,count_staff_salary,count_register_gender,count_register_race_african,count_staff_gender_female,pri_fees_amount,count_staff_gender,count_register_gender_male,language_match,obs_cooking_6,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_L9JKBJLMK,45.5649883486044,data_year,child_age,teacher_emotional_total,ses_proxy,quintile,teacher_duration,id_facility,child_attendance,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>,,,
ID_ZCMEZ9J1D,52.005948377822506,data_year,child_age,child_observe_total,ses_proxy,quintile,count_register_all,teacher_duration,id_facility,id_facility_n,id_prov_n,id_enumerator,language_match,<BIAS>,,
ID_OZL0JA0FH,37.097675910549015,data_year,count_staff_salary,count_staff_gender_female,count_register_gender,count_register_race_african,child_age,count_staff_time,language_match,count_staff_contract,count_staff_gender,count_register_gender_female,count_register_gender_male,count_register_race,count_staff_salary_paid,<BIAS>
ID_W1TNT3GRG,47.788444042296305,data_year,child_age,count_register_gender,count_register_race_african,count_staff_gender_female,count_staff_salary,child_observe_total,teacher_emotional_total,count_register_gender_female,language_match,obs_cooking_3,count_register_gender_male,count_register_race,count_staff_salary_unpaid,<BIAS>
ID_EO78K6JAR,41.41112167567326,data_year,child_age,teacher_emotional_total,latitude,ses_proxy,quintile,teacher_duration,id_facility,child_attendance,teacher_social_total,longitude,teacher_selfcare_total,language_match,<BIAS>,
ID_GG9WIQ0CG,55.31364346512146,data_year,count_register_gender,count_register_race_african,count_staff_salary,count_staff_gender_female,child_age,child_observe_total,obs_cooking_3,count_staff_contract,count_staff_gender,count_register_gender_female,count_register_gender_male,count_register_race,count_staff_salary_paid,<BIAS>
ID_JZEFKYXAV,46.48692735962959,data_year,child_age,count_register_gender,count_register_race_african,count_staff_gender_female,count_staff_salary,child_observe_total,teacher_emotional_total,count_staff_gender,language_match,count_register_gender_male,count_register_gender_female,count_staff_salary_paid,count_register_race,<BIAS>
ID_QA1OOY2G8,29.239686909570537,data_year,child_age,count_staff_salary,count_staff_gender_female,count_register_gender,count_register_race_coloured,count_register_race_african,count_staff_contract,language_match,count_staff_gender,obs_cooking_2,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_EMK8OCWAH,37.38997973318487,data_year,child_age,count_staff_gender_female,count_staff_salary,count_register_gender,count_register_race_african,child_observe_total,longitude,count_register_gender_female,count_staff_gender,count_register_gender_male,language_match,count_register_race,count_staff_salary_paid,<BIAS>
ID_NAHD74339,31.22901193170901,data_year,child_age,count_staff_salary,count_staff_gender_female,count_register_gender,count_register_race_african,count_staff_gender_male,count_staff_time,count_staff_contract,language_match,count_staff_gender,count_register_gender_male,count_register_race,count_staff_salary_paid,<BIAS>
ID_BOWZ3YIOO,47.21049255078697,data_year,child_age,child_observe_total,teacher_emotional_total,latitude,ses_proxy,id_facility_n,id_ward,id_prov_n,id_enumerator,teacher_social_total,longitude,teacher_selfcare_total,language_match,<BIAS>
ID_MXOBC0CYK,62.397041771697786,data_year,child_age,child_observe_total,teacher_emotional_total,id_dc_n,ses_proxy,child_zha,ward_best,child_height,id_prov_n,id_enumerator,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_M143FEUB7,68.20738320994315,data_year,child_age,child_observe_total,teacher_emotional_total,ses_proxy,id_dc_n,quintile,id_prov_n,child_height,id_facility_n,child_zha,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_6DPIOJQCP,58.19257911646514,data_year,child_age,count_staff_gender_female,count_staff_salary,count_register_gender,count_register_race_african,child_observe_total,teacher_emotional_total,count_register_gender_male,count_register_gender_female,language_match,obs_cooking_3,count_register_race,count_staff_salary_paid,<BIAS>
ID_J3IHCPIMI,35.111040688129606,data_year,child_age,count_staff_salary,count_staff_gender_female,count_register_gender,count_register_race_african,count_staff_contract,language_match,count_register_gender_male,obs_cooking_3,count_staff_gender,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_FZRK4J9KM,54.94560234468827,data_year,child_age,child_observe_total,ses_proxy,count_register_all,quintile,id_facility_n,id_facility,id_enumerator,language_match,<BIAS>,,,,
ID_HLBUOAQYR,39.67561305313211,data_year,child_age,count_register_gender,count_register_race_african,count_staff_salary,count_staff_gender_female,pri_fees_amount,language_match,count_staff_gender,obs_cooking_3,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_10RWYRUNR,59.78509860817758,data_year,child_age,teacher_emotional_total,child_observe_total,ward_best,id_dc_n,ses_proxy,child_zha,child_height,id_prov_n,id_enumerator,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_2TZCX6Z9V,46.65731191130453,data_year,child_age,child_observe_total,ses_proxy,latitude,id_dc_n,quintile,ward_best,id_ward,child_height,id_prov_n,id_enumerator,longitude,language_match,<BIAS>
ID_RWTUYHWTO,61.83246443969006,data_year,child_age,teacher_emotional_total,child_observe_total,ses_proxy,id_dc_n,quintile,child_height,id_facility_n,id_prov_n,child_zha,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_A39RYS3HX,57.36079021668411,data_year,child_age,child_observe_total,teacher_emotional_total,ses_proxy,id_dc_n,count_toilets_children,child_height,id_prov_n,id_enumerator,child_zha,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_7C8Y2CJBR,40.81259214877264,data_year,child_age,teacher_emotional_total,child_observe_total,ses_proxy,id_dc_n,id_mn_n,child_height,id_prov_n,id_facility_n,teacher_social_total,child_zha,teacher_selfcare_total,language_match,<BIAS>
ID_FRVNI8YMR,63.02039175521918,data_year,child_age,child_observe_total,teacher_emotional_total,ses_proxy,id_dc_n,quintile,child_zha,id_facility_n,child_height,id_prov_n,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_4JEAIUAUA,63.9291165027912,data_year,child_age,child_observe_total,teacher_emotional_total,child_zha,ses_proxy,quintile,id_enumerator,id_facility,child_height,child_attendance,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_SALADXKQT,36.71640827851547,data_year,count_register_gender,count_register_race_coloured,count_staff_salary,count_staff_gender_female,child_age,count_register_year_grader,language_match,count_staff_contract,count_staff_gender,count_register_gender_female,count_register_gender_male,count_staff_salary_paid,count_register_race,<BIAS>
ID_O0AG71MDY,39.79779642097128,data_year,child_age,count_register_gender,count_register_race_african,count_staff_gender_female,count_staff_salary,pri_fees_amount,obs_heating_1,language_match,obs_cooking_2,count_register_gender_male,count_register_gender_female,count_staff_salary_paid,count_register_race,<BIAS>
ID_QGE7V5K75,49.079347444596124,data_year,child_age,child_observe_total,teacher_emotional_total,ses_proxy,id_dc_n,sanitation_educators,child_height,id_prov_n,id_enumerator,child_zha,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_X97ZIQ7EP,42.90039564143217,data_year,count_staff_gender_female,count_staff_salary,child_age,count_register_gender,count_register_race_african,count_staff_time,count_staff_contract,language_match,count_register_gender_male,count_staff_gender,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_Q8S2W8XPA,25.77127458377072,data_year,child_age,count_staff_gender_female,count_staff_salary,count_register_gender,count_register_race_african,teacher_emotional_total,id_team,count_staff_contract,count_staff_gender,count_register_gender_female,language_match,count_register_race,count_staff_salary_paid,<BIAS>
ID_QP8T95W8J,66.41283459248439,data_year,child_age,child_observe_total,teacher_emotional_total,ses_proxy,quintile,id_dc_n,id_facility_n,child_zha,child_height,id_prov_n,teacher_social_total,teacher_selfcare_total,language_match,<BIAS>
ID_52RWH3K6I,35.54389048861162,data_year,child_age,teacher_emotional_total,child_observe_total,ses_proxy,latitude,pra_measure_rectangle_length,teacher_social_total,child_zha,pra_class_size,id_team,longitude,teacher_selfcare_total,language_match,<BIAS>
ID_GH4W2DKQS,38.54792061282842,data_year,child_age,count_register_gender,count_register_race_african,count_staff_salary,count_staff_gender_female,count_staff_time,count_staff_contract,language_match,count_staff_gender,count_register_gender_male,count_register_gender_female,count_register_race,count_staff_salary_paid,<BIAS>
ID_ZU4Y7EM9C,42.570919735211874,data_year,child_age,child_observe_total,latitude,ses_proxy,ward_best,id_dc_n,id_mn_n,id_facility_n,id_prov_n,id_ward,id_enumerator,longitude,language_match,<BIAS>
ID_MX4557TBH,54.55753137147326,data_year,child_age,child_observe_total,teacher_emotional_total,ses_proxy,id_dc_n,quintile,child_zha,id_facility_n,child_height,teacher_social_total,id_prov_n,teacher_selfcare_total,language_match,<BIAS>
ID_LY68RY4JJ,53.1754139482789,data_year,child_age,count_staff_gender_female,count_staff_salary,teacher_emotional_total,count_register_gender,obs_heating_1,count_register_race_african,count_staff_contract,count_register_race,count_staff_gender,language_match,obs_cooking_3,count_staff_salary_paid,<BIAS>
ID_CU45XJ5DV,50.716149357100676,data_year,child_age,child_observe_total,ses_proxy,id_dc_n,quintile,id_facility,id_facility_n,child_height,teacher_social_total,child_zha,id_prov_n,teacher_selfcare_total,language_match,<BIAS>
